"province","prize_special","prize_one","prize_two","prize_three","prize_four","prize_five","prize_six","prize_seven","prize_eight","date"
"Quảng Trị","541834","58384","90864","03651 - 43059","31531 - 84227 - 54161 - 01767 - 44527 - 87437 - 20365","4053","1072 - 6640 - 1404","541","89","07/11/2024"
"TP. HCM","392426","25602","82327","54572 - 36937","26210 - 26325 - 75044 - 04280 - 99885 - 58037 - 17856","6719","5327 - 8030 - 3625","835","08","11/11/2024"
