"province","prize_special","prize_one","prize_two","prize_three","prize_four","prize_five","prize_six","prize_seven","prize_eight","date"
"Cần Thơ","351306","33743","03931","42079 - 03505","69076 - 23098 - 30696 - 13754 - 26976 - 60237 - 02341","7616","4491 - 4326 - 3157","461","78","27/11/2024"
"Sóc Trăng","563100","35840","32565","33125 - 14178","18790 - 11777 - 64667 - 26452 - 33398 - 79306 - 15573","5298","2508 - 1828 - 9968","821","72","27/11/2024"
"Đà Nẵng","582478","65300","44300","68812 - 68288","87526 - 74002 - 82731 - 13234 - 89881 - 42484 - 67106","4946","3644 - 0191 - 2801","878","02","27/11/2024"
"Khánh Hòa","999670","21084","59275","52819 - 30546","13018 - 56080 - 22080 - 75711 - 11769 - 06240 - 79148","0137","8909 - 0404 - 3531","144","90","27/11/2024"
"Đồng Nai","193316","94122","67150","27389 - 90737","19503 - 94564 - 53068 - 20844 - 03237 - 43128 - 58995","6244","8030 - 5823 - 3688","512","57","27/11/2024"
"Miền Bắc","74465","51047","77204 - 52817","11717 - 02059 - 49896 - 13242 - 01602 - 32930","3950 - 8918 - 4425 - 1762","5262 - 7188 - 4939 - 9153 - 7880 - 1851","258 - 306 - 543","60 - 78 - 76 - 94",,"27/11/2024"
